"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"10740","Albuquerque, NM","365","113","224","26",".",".","2","403","97","58",".","15","223","65","62"
"16100","Carlsbad-Artesia, NM","365","249","104","12",".",".",".","140","74","44",".","27","254","84","."
"19700","Deming, NM","59","58","1",".",".",".",".","57","31","15",".",".",".",".","59"
"21580","Espa¤ola, NM","96","96",".",".",".",".",".","43","31","14",".",".",".","96","."
"22140","Farmington, NM","365","211","135","19",".",".",".","133","93","48",".","34","303","28","."
"26020","Hobbs, NM","118","100","18",".",".",".",".","74","54","33",".",".",".","116","2"
"29740","Las Cruces, NM","365","85","237","37","6",".",".","188","105","62","1","8","148","206","2"
"31060","Los Alamos, NM","115","114","1",".",".",".",".","51","32","17",".",".",".","115","."
"40740","Roswell, NM","124","98","26",".",".",".",".","70","57","33.5",".",".",".","123","1"
"40760","Ruidoso, NM","111","107","4",".",".",".",".","80","41","18",".",".",".","111","."
"42140","Santa Fe, NM","359","352","7",".",".",".",".","69","29","9","219",".",".","119","21"
"43500","Silver City, NM","137","115","22",".",".",".",".","93","54","28",".",".",".","102","35"
"45340","Taos, NM","319","289","29","1",".",".",".","114","48","25",".",".",".","300","19"
