"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"10740","Albuquerque, NM","365","129","212","23","1",".",".","165","90","57",".",".","224","103","38"
"16100","Carlsbad-Artesia, NM","365","210","135","17","3",".",".","185","90","48",".","6","350","9","."
"19700","Deming, NM","357","343","11","3",".",".",".","137","32","16",".",".",".",".","357"
"21580","Espa¤ola, NM","362","246","113","3",".",".",".","126","77","46",".",".","360","2","."
"22140","Farmington, NM","365","213","136","16",".",".",".","129","93","47",".","2","361",".","2"
"26020","Hobbs, NM","365","193","166","6",".",".",".","143","80","50",".","1","242","122","."
"29740","Las Cruces, NM","365","121","212","28","4",".",".","187","100","58",".","2","235","87","41"
"31060","Los Alamos, NM","120","120",".",".",".",".",".","43","30","13",".",".",".","120","."
"40740","Roswell, NM","118","102","16",".",".",".",".","62","52","27",".",".",".","118","."
"40760","Ruidoso, NM","116","113","3",".",".",".",".","58","30","14.5",".",".",".","116","."
"42140","Santa Fe, NM","365","276","86","3",".",".",".","122","67","44",".",".","343","22","."
"45340","Taos, NM","365","319","46",".",".",".",".","69","52","30",".",".",".","365","."
