"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"10740","Albuquerque, NM","365","53","307","5",".",".",".","146","81","62",".","4","152","167","42"
"16100","Carlsbad-Artesia, NM","365","275","88","2",".",".",".","101","67","39",".","2","309","54","."
"19700","Deming, NM","365","342","19","2",".",".","2","411","47","39",".","7","315",".","43"
"21580","Espa¤ola, NM","104","103","1",".",".",".",".","52","22","12",".",".",".","104","."
"22140","Farmington, NM","365","240","115","6","2","2",".","251","78","45",".","22","323","18","2"
"23700","Gallup, NM","269","269",".",".",".",".",".","31","19","12",".",".",".",".","269"
"26020","Hobbs, NM","365","326","39",".",".",".",".","68","51","37",".","19","234","109","3"
"29740","Las Cruces, NM","365","120","233","7","1",".","4","690","84","56",".","5","166","107","87"
"31060","Los Alamos, NM","112","112",".",".",".",".",".","39","21","13",".",".",".","112","."
"40740","Roswell, NM","128","118","10",".",".",".",".","75","47","27",".",".",".","121","7"
"40760","Ruidoso, NM","103","100","2","1",".",".",".","127","29","15",".",".",".","103","."
"42140","Santa Fe, NM","365","304","60","1",".",".",".","101","54","44",".",".","351","14","."
"43500","Silver City, NM","365","290","73","2",".",".",".","126","61","45",".",".","354","11","."
"45340","Taos, NM","355","347","8",".",".",".",".","66","36","19",".",".",".","350","5"
