"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"10740","Albuquerque, NM","366","101","255","8","1","1",".","214","78","57",".",".","167","141","58"
"16100","Carlsbad-Artesia, NM","364","244","109","11",".",".",".","115","80","46",".",".","351","13","."
"19700","Deming, NM","354","335","18",".",".",".","1","353","40","19",".",".",".",".","354"
"21580","Espa¤ola, NM","362","313","49",".",".",".",".","90","54","44",".",".","361","1","."
"22140","Farmington, NM","366","265","96","5",".",".",".","109","64","45",".",".","364",".","2"
"26020","Hobbs, NM","366","310","56",".",".",".",".","79","54","40",".","4","274","88","."
"29740","Las Cruces, NM","366","144","201","15","3","1","2","389","88","54",".","3","203","93","67"
"31060","Los Alamos, NM","117","113","4",".",".",".",".","58","25","13",".",".",".","117","."
"40740","Roswell, NM","119","108","11",".",".",".",".","78","49","23",".",".",".","119","."
"40760","Ruidoso, NM","115","113","2",".",".",".",".","57","37","14",".",".",".","115","."
"42140","Santa Fe, NM","366","287","78","1",".",".",".","101","58","44",".",".","327","39","."
"45340","Taos, NM","360","310","50",".",".",".",".","68","53","27",".",".",".","360","."
