"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"10460","Alamogordo, NM","57","56","1",".",".",".",".","58","24","14",".",".",".",".","57"
"10740","Albuquerque, NM","365","183","161","21",".",".",".","129","90","50","37","50","271",".","7"
"16100","Carlsbad-Artesia, NM","365","251","103","11",".",".",".","119","77","44",".","11","354",".","."
"19700","Deming, NM","58","58",".",".",".",".",".","42","26","16",".",".",".",".","58"
"22140","Farmington, NM","365","253","108","4",".",".",".","108","74","44","7","85","273",".","."
"26020","Hobbs, NM","59","58","1",".",".",".",".","51","26","17",".",".",".",".","59"
"29740","Las Cruces, NM","365","112","204","33","9","3","4","1471","119","61","1","8","196","64","96"
"31060","Los Alamos, NM","101","100","1",".",".",".",".","53","31","17",".",".",".","101","."
"40740","Roswell, NM","61","61",".",".",".",".",".","43","27","18",".",".",".",".","61"
"42140","Santa Fe, NM","365","365",".",".",".",".",".","33","18","10","222",".",".",".","143"
"43500","Silver City, NM","78","78",".",".",".",".",".","32","27","19",".",".",".",".","78"
"45340","Taos, NM","363","359","4",".",".",".",".","64","29","15",".",".",".",".","363"
