"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"10740","Albuquerque, NM","275","83","163","25","1","1","2","443","101","61","1","2","193","45","34"
"16100","Carlsbad-Artesia, NM","244","108","106","27","3",".",".","172","101","54",".",".","242","2","."
"19700","Deming, NM","182","170","10","1","1",".",".","153","39","15",".",".",".",".","182"
"21580","Espa¤ola, NM","179","113","63","3",".",".",".","108","80","48",".",".","179",".","."
"22140","Farmington, NM","272","165","99","8",".",".",".","108","87","47",".",".","271",".","1"
"26020","Hobbs, NM","180","126","54",".",".",".",".","93","70.5","44",".",".","143","37","."
"29740","Las Cruces, NM","182","62","104","8","2","2","4","692","97","58",".","1","91","58","32"
"31060","Los Alamos, NM","20","20",".",".",".",".",".","16","13.5","9",".",".",".","20","."
"40740","Roswell, NM","20","16","4",".",".",".",".","62","55","20.5",".",".",".","20","."
"40760","Ruidoso, NM","20","20",".",".",".",".",".","26","16.5","6.5",".",".",".","20","."
"42140","Santa Fe, NM","180","126","54",".",".",".",".","93","74","45",".",".","177","3","."
"45340","Taos, NM","181","181",".",".",".",".",".","46","31","14",".",".",".","181","."
