"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"10740","Albuquerque, NM","365","152","212","1",".",".",".","105","74","52",".",".","207","110","48"
"16100","Carlsbad-Artesia, NM","363","263","96","4",".",".",".","115","64","41",".","3","291","69","."
"19700","Deming, NM","364","305","55","2","1","1",".","224","54","44",".","29","287",".","48"
"21580","Espa¤ola, NM","363","286","77",".",".",".",".","93","58","44",".",".","355","8","."
"22140","Farmington, NM","365","272","93",".",".",".",".","97","61","44",".","10","350","4","1"
"26020","Hobbs, NM","360","250","107","3",".",".",".","113","64","44",".","4","237","118","1"
"29740","Las Cruces, NM","365","179","166","13","4","2","1","450","82","51",".","3","192","61","109"
"31060","Los Alamos, NM","117","117",".",".",".",".",".","43","26","14",".",".",".","117","."
"40740","Roswell, NM","114","90","24",".",".",".",".","78","56","28.5",".",".",".","114","."
"40760","Ruidoso, NM","102","94","8",".",".",".",".","61","35","16.5",".",".",".","102","."
"42140","Santa Fe, NM","365","305","60",".",".",".",".","87","58","43",".",".","353","12","."
"43500","Silver City, NM","310","271","39",".",".",".",".","90","58","42",".",".","307",".","3"
"45340","Taos, NM","356","349","7",".",".",".",".","59","34","19",".",".",".","355","1"
