"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"10740","Albuquerque, NM","365","67","271","24","1","2",".","212","97","64",".","4","165","51","145"
"16100","Carlsbad-Artesia, NM","365","255","87","23",".",".",".","143","87","44",".","1","329","35","."
"19700","Deming, NM","199","196","3",".",".",".",".","65","44","35",".","4","154",".","41"
"21580","Espa¤ola, NM","111","110","1",".",".",".",".","55","23","11",".",".",".","111","."
"22140","Farmington, NM","365","191","153","20","1",".",".","154","90","49",".","63","273","29","."
"26020","Hobbs, NM","361","247","107","7",".",".",".","129","80","44",".","30","252","78","1"
"29740","Las Cruces, NM","365","102","224","27","7","3","2","385","101","58",".","2","164","91","108"
"31060","Los Alamos, NM","116","116",".",".",".",".",".","44","26","13",".",".",".","116","."
"40740","Roswell, NM","126","106","20",".",".",".",".","68","52","32",".",".",".","121","5"
"40760","Ruidoso, NM","102","101","1",".",".",".",".","64","33","17",".",".",".","102","."
"42140","Santa Fe, NM","365","358","7",".",".",".",".","63","34","20","19",".",".","343","3"
"43500","Silver City, NM","358","299","57","2",".",".",".","112","58","42",".",".","337","17","4"
"45340","Taos, NM","352","319","33",".",".",".",".","68","50","26.5",".",".",".","224","128"
