"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"10460","Alamogordo, NM","56","54","2",".",".",".",".","56","34","15.5",".",".",".",".","56"
"10740","Albuquerque, NM","366","104","227","35",".",".",".","147","100","61",".","11","223","94","38"
"16100","Carlsbad-Artesia, NM","366","241","122","3",".",".",".","115","71","44",".","10","267","89","."
"19700","Deming, NM","51","51",".",".",".",".",".","36","28","15",".",".",".",".","51"
"21580","Espa¤ola, NM","45","44","1",".",".",".",".","51","23","10",".",".",".","45","."
"22140","Farmington, NM","366","213","125","28",".",".",".","150","93","48",".","26","314","26","."
"26020","Hobbs, NM","131","106","25",".",".",".",".","63","55","34",".",".",".","121","10"
"29740","Las Cruces, NM","366","86","235","38","7",".",".","200","105","67",".","16","210","140","."
"31060","Los Alamos, NM","101","99","2",".",".",".",".","70","28","16",".",".",".","101","."
"40740","Roswell, NM","149","126","23",".",".",".",".","79","52","34",".",".",".","141","8"
"42140","Santa Fe, NM","366","360","6",".",".",".",".","59","33","13","135",".",".","145","86"
"43500","Silver City, NM","163","153","10",".",".",".",".","58","44","24",".",".",".","123","40"
"45340","Taos, NM","218","202","16",".",".",".",".","59","48","30",".",".",".","181","37"
