"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"10740","Albuquerque, NM","366","72","288","6",".",".",".","143","85","61",".","4","147","147","68"
"16100","Carlsbad-Artesia, NM","366","237","120","9",".",".",".","115","77","44",".","4","322","40","."
"19700","Deming, NM","366","299","43","11","8","2","3","977","67","38",".","14","273",".","79"
"21580","Espa¤ola, NM","110","108","2",".",".",".",".","54","28.5","14",".",".",".","110","."
"22140","Farmington, NM","366","206","157","3",".",".",".","122","80","49",".","23","309","20","14"
"23700","Gallup, NM","278","270","8",".",".",".",".","76","27","14",".",".",".",".","278"
"26020","Hobbs, NM","362","255","107",".",".",".",".","97","64","43",".","26","233","101","2"
"29740","Las Cruces, NM","366","94","228","32","5","4","3","411","105","58.5",".","3","128","155","80"
"31060","Los Alamos, NM","115","114","1",".",".",".",".","52","32","16",".",".",".","115","."
"40740","Roswell, NM","126","109","17",".",".",".",".","72","51","29",".",".",".","118","8"
"40760","Ruidoso, NM","117","109","8",".",".",".",".","66","40","18",".",".",".","117","."
"42140","Santa Fe, NM","366","295","71",".",".",".",".","100","61","43",".",".","345","21","."
"43500","Silver City, NM","365","335","30",".",".",".",".","87","50","40",".",".","348","17","."
"45340","Taos, NM","365","341","24",".",".",".",".","64","45","22",".",".",".","357","8"
