"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"10740","Albuquerque, NM","366","164","199","3",".",".",".","143","74","53",".",".","211","109","46"
"16100","Carlsbad-Artesia, NM","362","292","70",".",".",".",".","100","61","44",".","2","360",".","."
"19700","Deming, NM","360","338","19","1","2",".",".","162","38.5","17",".",".",".",".","360"
"21580","Espa¤ola, NM","362","304","58",".",".",".",".","80","54","44",".",".","359","3","."
"22140","Farmington, NM","366","273","91","2",".",".",".","108","71","44",".","7","357",".","2"
"26020","Hobbs, NM","364","305","59",".",".",".",".","97","58","42",".","1","326","37","."
"29740","Las Cruces, NM","366","111","240","12","2",".","1","594","87","56",".",".","168","146","52"
"31060","Los Alamos, NM","119","119",".",".",".",".",".","32","21","11",".",".",".","119","."
"40740","Roswell, NM","117","113","4",".",".",".",".","90","39","22",".",".",".","117","."
"40760","Ruidoso, NM","113","109","4",".",".",".",".","73","26","13",".",".",".","113","."
"42140","Santa Fe, NM","366","300","66",".",".",".",".","90","61","43",".",".","362","4","."
"45340","Taos, NM","362","349","13",".",".",".",".","59","33","16",".",".",".","362","."
