"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"10740","Albuquerque, NM","366","97","246","22","1",".",".","161","90","63.5",".","4","178","64","120"
"16100","Carlsbad-Artesia, NM","365","282","83",".",".",".",".","93","61","42",".","16","291","58","."
"19700","Deming, NM","60","58","2",".",".",".",".","67","27.5","14",".",".",".",".","60"
"21580","Espa¤ola, NM","110","110",".",".",".",".",".","33","22.5","12",".",".",".","110","."
"22140","Farmington, NM","365","252","111","2",".",".",".","108","71","45",".","30","304","31","."
"26020","Hobbs, NM","199","166","33",".",".",".",".","77","55","35",".","18","79","99","3"
"29740","Las Cruces, NM","366","114","215","30","4","2","1","1063","101","59",".","6","165","84","111"
"31060","Los Alamos, NM","117","117",".",".",".",".",".","42","26","14",".",".",".","117","."
"40740","Roswell, NM","120","87","33",".",".",".",".","75","58","38.5",".",".",".","119","1"
"40760","Ruidoso, NM","118","118",".",".",".",".",".","45","32","14",".",".",".","118","."
"42140","Santa Fe, NM","366","360","6",".",".",".",".","68","35","21","24",".",".","342","."
"43500","Silver City, NM","119","108","11",".",".",".",".","60","48","27",".",".",".","101","18"
"45340","Taos, NM","355","343","12",".",".",".",".","59","41","20",".",".",".","350","5"
