"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"10740","Albuquerque, NM","365","80","252","28","2","1","2","825","97","64",".",".","157","149","59"
"16100","Carlsbad-Artesia, NM","365","207","130","27","1",".",".","151","93","48",".","1","352","12","."
"19700","Deming, NM","358","317","32","6","2",".","1","806","52","17",".",".",".",".","358"
"21580","Espa¤ola, NM","331","304","26","1",".",".",".","105","49","40",".",".","317","14","."
"22140","Farmington, NM","365","238","116","9","1","1",".","220","77","45",".","2","341",".","22"
"26020","Hobbs, NM","365","237","123","5",".",".",".","126","74","44",".","2","252","111","."
"29740","Las Cruces, NM","365","157","179","24","1","2","2","367","93","53",".","15","196","85","69"
"31060","Los Alamos, NM","118","112","5","1",".",".",".","103","39","13.5",".",".",".","118","."
"40740","Roswell, NM","121","108","13",".",".",".",".","64","51","26",".",".",".","121","."
"40760","Ruidoso, NM","109","105","4",".",".",".",".","79","40","16",".",".",".","109","."
"42140","Santa Fe, NM","365","284","81",".",".",".",".","98","61","44",".",".","340","25","."
"45340","Taos, NM","359","323","36",".",".",".",".","86","51","19",".",".",".","359","."
